,Name,Year,Selling_price,Present_price,Km_driven,Fuel_type,Seller_type,Transmission,Owner_type
46,Mahindra Scorpio,2014,851000,2525999.0,50000,Diesel,Individual,Manual,1
47,Honda City,2014,361000,1790999.0,74000,Diesel,Individual,Manual,2
48,Maruti Wagon,2014,91000,1385999.0,64000,Petrol,Individual,Manual,2
49,Maruti Wagon,2012,76000,1363499.0,60000,Petrol,Individual,Manual,2
50,Mahindra Scorpio,2009,212000,1567499.0,120000,Diesel,Individual,Manual,2
51,Hyundai Santro,2009,49000,1175999.0,79000,Petrol,Individual,Manual,3
52,Hyundai Grand,2019,301000,1700999.0,15000,Petrol,Individual,Manual,1
53,Maruti Alto,2006,-99000,1100999.0,80000,Petrol,Individual,Manual,1
54,Maruti Swift,2017,526000,2038499.0,18500,Diesel,Dealer,Manual,1
55,Maruti Eeco,2018,202000,1552499.0,10200,Petrol,Dealer,Manual,1
56,Hyundai i20,2018,551000,2075999.0,29000,Diesel,Dealer,Manual,1
57,Maruti Omni,2018,111000,1415999.0,28000,Petrol,Dealer,Manual,1
58,Maruti Swift,2016,466000,1948499.0,46000,Diesel,Dealer,Manual,1
59,Hyundai i20,2014,266000,1648499.0,70000,Diesel,Dealer,Manual,1
60,Maruti Alto,2012,-39000,1190999.0,60000,Petrol,Individual,Manual,2
61,Mahindra Jeep,1996,51000,1325999.0,35000,Diesel,Individual,Manual,2
62,Honda City,2014,476000,1963499.0,90000,Diesel,Dealer,Manual,1
63,Maruti Wagon,2013,101000,1400999.0,80000,Petrol,Dealer,Manual,1
64,Tata Indica,2005,-129000,1055999.0,80000,Diesel,Individual,Manual,1
65,Hyundai EON,2014,41000,1310999.0,73300,Petrol,Dealer,Manual,2
66,Toyota Etios,2014,326000,1738499.0,92000,Diesel,Dealer,Manual,1
67,Maruti Alto,2009,-48000,1177499.0,66764,Petrol,Dealer,Manual,2
68,Maruti Alto,2009,-59000,1160999.0,100000,Petrol,Individual,Manual,1
69,Chevrolet Tavera,2010,81000,1370999.0,350000,Diesel,Individual,Manual,2
70,Toyota Corolla,2011,151000,1475999.0,230000,Diesel,Individual,Manual,1
71,Mahindra Scorpio,2017,371000,1805999.0,60000,Diesel,Individual,Manual,1
72,Hyundai EON,2018,101000,1400999.0,31000,Petrol,Individual,Manual,1
73,Tata Indigo,2007,-99000,1100999.0,39000,Diesel,Individual,Manual,1
74,Toyota Innova,2009,301000,1700999.0,120000,Diesel,Individual,Manual,3
75,Tata Indica,2014,74000,1138499.0,166000,Diesel,Individual,Manual,3
76,Maruti Swift,2006,69000,1145999.0,110000,Petrol,Individual,Manual,3
77,Ford EcoSport,2017,726000,2338499.0,35000,Diesel,Individual,Manual,1
78,Maruti Ciaz,2018,551000,2075999.0,60000,Diesel,Individual,Manual,1
79,Honda Civic,2007,1000,1250999.0,54000,Petrol,Individual,Automatic,2
80,Hyundai i10,2010,49000,1322999.0,63000,Petrol,Individual,Manual,2
81,Skoda Rapid,2014,251000,1625999.0,120000,Diesel,Individual,Manual,2
82,Hyundai Getz,2005,119000,1070999.0,120000,Petrol,Individual,Manual,3
83,Nissan Terrano,2014,451000,1925999.0,76000,Petrol,Individual,Manual,2
84,Hyundai Grand,2015,251000,1625999.0,80000,Diesel,Individual,Manual,1
85,Hyundai Elite,2019,451000,1925999.0,25000,Diesel,Individual,Manual,1
86,Honda Amaze,2016,296000,1693499.0,11958,Petrol,Dealer,Manual,1
87,Honda Brio,2015,172000,1507499.0,20000,Petrol,Dealer,Manual,1
88,Hyundai Creta,2017,826000,2488499.0,9000,Petrol,Dealer,Manual,1
89,Mercedes-Benz S-Class,2017,7951000,13175999.0,6500,Diesel,Dealer,Automatic,1
90,Mahindra XUV500,2015,551000,2075999.0,70000,Diesel,Individual,Manual,1
91,Renault Duster,2013,401000,1850999.0,120000,Diesel,Individual,Manual,1
92,Hyundai Santro,2007,-119000,1070999.0,58000,Petrol,Dealer,Manual,2
93,Mahindra Bolero,2013,126000,1438499.0,62200,Diesel,Dealer,Manual,1
94,Audi A6,2014,1271000,3155999.0,34000,Diesel,Dealer,Automatic,2
95,Fiat Avventura,2015,151000,1475999.0,53000,Diesel,Individual,Manual,2
96,Audi A8,2013,2601000,5150999.0,49000,Diesel,Dealer,Automatic,1
97,Datsun RediGO,2017,11000,1366008.0,15000,Petrol,Dealer,Manual,2
98,Volkswagen Jetta,2013,251000,1726008.0,50000,Petrol,Individual,Manual,1
99,Audi A4,2013,951000,2776008.0,53000,Diesel,Dealer,Automatic,1
100,Honda Civic,2009,11000,1366008.0,63500,Petrol,Dealer,Automatic,1
101,Mercedes-Benz E-Class,2018,4301000,7801008.0,9800,Petrol,Dealer,Automatic,1
102,BMW X1,2017,2551000,5676107.0,13000,Diesel,Individual,Automatic,1
103,Volvo V40,2018,1776000,4523607.0,21000,Diesel,Dealer,Automatic,1
104,Maruti SX4,2008,-24000,1823607.0,29173,Petrol,Dealer,Manual,1
105,BMW 7,2012,2301000,5311107.0,48000,Diesel,Dealer,Automatic,1
106,Mahindra Bolero,2017,429000,2503107.0,120000,Diesel,Individual,Manual,1
107,Hyundai Sonata,2010,401000,2461107.0,100000,Diesel,Individual,Manual,1
108,Nissan Micra,2017,200000,2159607.0,30000,Petrol,Individual,Manual,1
109,Mahindra Xylo,2018,551000,2686107.0,87000,Diesel,Individual,Manual,1
110,Hyundai Elite,2019,551000,2686107.0,15000,Petrol,Individual,Manual,1
111,Renault KWID,2017,116000,2033607.0,16000,Petrol,Individual,Manual,1
112,Mahindra Xylo,2012,401000,2461107.0,60000,Diesel,Individual,Manual,1
113,Maruti Wagon,2010,99000,1711107.0,60000,Petrol,Individual,Manual,3
114,Maruti SX4,2011,51000,1936107.0,110000,Petrol,Individual,Manual,3
115,Renault KWID,2017,151000,2086107.0,25000,Petrol,Individual,Manual,1
116,Hyundai Creta,2016,581000,2731107.0,60000,Diesel,Individual,Manual,1
117,Maruti Swift,2014,235000,2212107.0,79350,Diesel,Individual,Manual,2
118,Hyundai Verna,2016,491000,2596107.0,80000,Petrol,Individual,Automatic,1
119,Mahindra Scorpio,2014,356000,2393607.0,90000,Diesel,Individual,Manual,2
120,Maruti SX4,2007,-79000,1741107.0,90000,Petrol,Individual,Manual,2
121,Maruti Ertiga,2014,301000,2311107.0,120000,Diesel,Individual,Manual,2
122,Chevrolet Beat,2013,-34000,1808607.0,60000,Diesel,Individual,Manual,2
123,Maruti Zen,2004,-104000,1703607.0,50000,Petrol,Individual,Manual,1
124,Maruti Baleno,2018,351000,2386107.0,20000,Petrol,Individual,Manual,1
125,Maruti Swift,2007,99000,1711107.0,110000,Diesel,Individual,Manual,3
126,Tata Nano,2012,-99000,1711107.0,50000,Petrol,Individual,Manual,2
127,Toyota Innova,2012,301000,2311107.0,100000,Diesel,Individual,Manual,1
128,Maruti Ertiga,2016,601000,2761107.0,70000,Diesel,Individual,Manual,2
129,Hyundai Creta,2016,641000,2821107.0,70000,Diesel,Individual,Manual,2
130,Honda Amaze,2016,291000,2296107.0,50000,Petrol,Individual,Manual,1
131,Tata Indica,2010,-74000,1748607.0,81000,Diesel,Individual,Manual,2
132,Chevrolet Tavera,2012,201000,2161107.0,120000,Diesel,Individual,Manual,3
133,Chevrolet Cruze,2015,801000,3061107.0,3600,Diesel,Dealer,Manual,1
134,Ford Figo,2015,331000,2356107.0,14272,Petrol,Dealer,Manual,1
135,Ford EcoSport,2017,641000,2821107.0,49213,Diesel,Dealer,Manual,1
136,Hyundai i10,2015,30999,1906105.5,40000,Petrol,Individual,Manual,1
137,Maruti 800,1998,159000,421107.0,40000,Petrol,Individual,Manual,3
138,Chevrolet Spark,2012,-69000,1756107.0,80000,Petrol,Individual,Manual,1
139,Hyundai EON,2015,1000,1861107.0,70000,Petrol,Individual,Manual,1
140,Tata Indica,2011,-79000,1741107.0,70000,Diesel,Individual,Manual,1
141,Hyundai Santro,2003,-124000,1673607.0,57000,Petrol,Individual,Manual,1
142,Tata Bolt,2016,51000,1936107.0,120000,Diesel,Individual,Manual,1
143,Maruti 800,2005,-99000,1661107.0,30000,Petrol,Individual,Manual,1
144,Hyundai EON,2013,81000,1931107.0,3240,Petrol,Individual,Manual,2
145,Hyundai i20,2015,341000,2321107.0,5000,Petrol,Individual,Manual,1
146,Hyundai i20,2018,501000,2561107.0,10000,Petrol,Individual,Manual,1
147,Maruti Ciaz,2015,326000,2298607.0,100000,Diesel,Individual,Manual,1
148,Hyundai i20,2016,231000,2156107.0,80000,Diesel,Individual,Manual,1
149,Hyundai Santro,2002,-134000,1608607.0,70000,Petrol,Individual,Manual,1
150,Maruti Vitara,2018,601000,2711107.0,35000,Diesel,Individual,Manual,1
151,Hyundai Santro,2007,-124000,1623607.0,114000,Petrol,Individual,Manual,2
152,Hyundai Getz,2008,11000,1826107.0,53772,Petrol,Individual,Manual,1
153,Mahindra Quanto,2012,-4000,1803607.0,140000,Diesel,Individual,Manual,2
154,Chevrolet Tavera,2015,201000,2111107.0,120000,Diesel,Individual,Manual,1
155,Hyundai EON,2012,-29000,1766107.0,60000,Petrol,Individual,Manual,1
156,Renault KWID,2016,26000,1848607.0,25000,Petrol,Individual,Manual,1
157,Maruti Wagon,2014,11000,1826107.0,90000,CNG,Individual,Manual,1
158,Maruti Wagon,2020,41000,1871107.0,120000,Petrol,Individual,Manual,1
159,Chevrolet Enjoy,2015,101000,1961107.0,175000,Diesel,Individual,Manual,1
160,Chevrolet Spark,2011,100000,1659607.0,100000,Petrol,Individual,Manual,3
161,Honda City,2014,421000,2441107.0,36000,Petrol,Individual,Manual,1
162,Honda Amaze,2013,301000,2261107.0,30000,Diesel,Individual,Manual,1
163,Jaguar XJ,2010,2351000,5336107.0,40000,Petrol,Individual,Automatic,2
164,Honda Brio,2013,61000,1901107.0,70000,Petrol,Individual,Manual,2
165,Maruti Swift,2017,351000,2336107.0,60000,Petrol,Individual,Manual,1
166,Tata Indigo,2011,-49000,1736107.0,155500,Diesel,Individual,Manual,1
167,Hyundai i10,2011,151000,2036107.0,50000,Petrol,Individual,Automatic,2
168,Chevrolet Beat,2016,121000,1991107.0,40000,Petrol,Individual,Manual,1
169,Maruti Swift,2015,201000,2111107.0,100000,Diesel,Individual,Manual,3
170,Maruti Alto,2012,24000,1773607.0,80000,Petrol,Individual,Manual,3
171,Chevrolet Beat,2011,-79000,1691107.0,90000,Petrol,Individual,Manual,2
172,Renault Duster,2013,121000,1991107.0,90000,Diesel,Individual,Manual,2
173,Hyundai Santro,2006,129000,1616107.0,110000,Petrol,Individual,Manual,3
174,Maruti Swift,2019,611000,2726107.0,15000,Petrol,Individual,Manual,1
175,Maruti 800,2007,-104000,1653607.0,100000,Petrol,Individual,Manual,2
176,Maruti Alto,2020,83000,1934107.0,40000,CNG,Individual,Manual,1
177,Maruti 800,2004,-119000,1631107.0,60000,Petrol,Individual,Manual,2
178,Tata Nano,2013,-127000,1619107.0,25000,Petrol,Individual,Manual,1
179,Hyundai i20,2016,401000,2411107.0,25000,Petrol,Individual,Manual,1
180,Skoda Rapid,2015,441000,2471107.0,23000,Petrol,Individual,Manual,1
181,Maruti Alto,2018,181000,2081107.0,22155,Petrol,Individual,Manual,1
182,Maruti Ciaz,2018,451000,2486107.0,70000,Petrol,Individual,Manual,1
183,Maruti Alto,2009,-152000,1736107.0,60000,Petrol,Individual,Manual,2
184,Hyundai i20,2009,78000,1931107.0,110000,Petrol,Individual,Manual,2
185,Tata Nexon,2018,228000,2156107.0,30000,Petrol,Individual,Manual,1
186,Mahindra Bolero,2019,598000,2711107.0,15000,Diesel,Individual,Manual,1
187,Maruti Zen,2003,-127000,1623607.0,100000,Diesel,Individual,Manual,2
188,Volkswagen Vento,2016,448000,2486107.0,70000,Diesel,Individual,Automatic,1
189,Maruti Eeco,2017,188000,2096107.0,24000,Petrol,Individual,Manual,1
190,Honda City,2005,-102000,1661107.0,120000,Petrol,Individual,Manual,2
191,Mercedes-Benz New,2013,1298000,3761107.0,35000,Diesel,Individual,Automatic,1
192,Maruti SX4,2007,-27000,1773607.0,78380,Petrol,Individual,Manual,1
193,Renault Duster,2012,232999,2163605.5,110000,Diesel,Individual,Manual,2
194,Ford Figo,2010,32000,1766107.0,90000,Diesel,Individual,Manual,3
195,Ford Figo,2011,12000,1796107.0,90000,Diesel,Individual,Manual,3
196,Maruti Swift,2009,48000,1886107.0,150000,Diesel,Individual,Manual,3
197,Mahindra Xylo,2009,27999,1856105.5,230000,Diesel,Individual,Manual,3
198,Maruti Esteem,2006,62000,1721107.0,70000,Petrol,Individual,Manual,3
199,Maruti Swift,2017,398000,2411107.0,80362,Diesel,Individual,Manual,1
200,Hyundai i20,2012,78000,1931107.0,110000,Petrol,Individual,Manual,3
201,Chevrolet Beat,2012,-52000,1736107.0,60000,Diesel,Individual,Manual,1
202,Chevrolet Cruze,2015,448000,2486107.0,50000,Diesel,Individual,Automatic,1
203,Nissan Micra,2014,8000,1826107.0,40000,Petrol,Individual,Manual,2
204,BMW 5,2017,2698000,5861107.0,40000,Diesel,Individual,Automatic,1
205,Chevrolet Enjoy,2013,223000,2148607.0,20000,Diesel,Dealer,Manual,1
206,Hyundai EON,2014,63000,1908607.0,55000,Petrol,Dealer,Manual,1
207,Fiat Linea,2018,688000,2846107.0,1136,Petrol,Dealer,Manual,1
208,Renault Scala,2013,163000,2058607.0,55000,Petrol,Dealer,Manual,1
209,Ford Figo,2014,148000,2036107.0,43000,Petrol,Dealer,Manual,1
210,Maruti Ciaz,2016,483000,2538607.0,60000,Diesel,Individual,Manual,1
211,Skoda Rapid,2018,738000,2921107.0,2650,Diesel,Dealer,Manual,1
212,Mahindra XUV500,2017,798000,3011107.0,40000,Diesel,Individual,Manual,1
213,Mahindra XUV300,2019,948000,3236107.0,15000,Petrol,Dealer,Manual,1
214,Maruti Ertiga,2016,248000,2186107.0,115962,Diesel,Individual,Manual,2
215,Nissan Terrano,2015,388000,2396107.0,65000,Diesel,Dealer,Manual,1
216,Maruti S-Cross,2017,598000,2711107.0,40000,Diesel,Individual,Manual,1
217,Hyundai i20,2012,183000,2088607.0,58000,Diesel,Dealer,Manual,1
218,Mercedes-Benz New,2013,1798000,4511107.0,15000,Diesel,Individual,Automatic,1
219,Hyundai EON,2012,33000,1863607.0,54000,Petrol,Dealer,Manual,1
220,Volkswagen Ameo,2017,438000,2471107.0,56000,Diesel,Dealer,Manual,1
221,Maruti Alto,2006,150000,1589107.0,120000,Petrol,Individual,Manual,3
222,Maruti Omni,2009,22000,1631107.0,90000,CNG,Individual,Manual,2
223,Maruti Alto,2012,-62000,1721107.0,70000,Petrol,Individual,Manual,2
224,Hyundai Verna,2008,-82000,1691107.0,90000,Petrol,Individual,Manual,2
225,Mahindra Renault,2008,-112001,1646105.5,213000,Diesel,Individual,Manual,1
226,Chevrolet Optra,2012,-22000,1781107.0,120000,Diesel,Individual,Manual,1
227,Mahindra Scorpio,2017,1298000,3761107.0,20000,Diesel,Individual,Manual,1
228,Hyundai i20,2017,498000,2561107.0,10000,Petrol,Individual,Manual,1
229,Maruti SX4,2012,83000,1938607.0,80000,Diesel,Individual,Manual,2
230,Hyundai Grand,2015,188000,2096107.0,90000,Petrol,Individual,Manual,1
231,Maruti Alto,2008,-77000,1698607.0,80000,Petrol,Individual,Manual,1
232,Maruti SX4,2008,23000,1848607.0,60000,Petrol,Individual,Manual,2
233,Hyundai i10,2011,-27000,1773607.0,139000,Petrol,Individual,Manual,2
234,Toyota Innova,2011,873000,3123607.0,160000,Diesel,Individual,Manual,2
235,Honda Mobilio,2014,98000,1961107.0,150000,Diesel,Individual,Manual,1
236,Toyota Innova,2010,498000,2561107.0,163000,Diesel,Individual,Manual,3
237,Tata Indica,2009,-112000,1646107.0,120000,Diesel,Dealer,Manual,1
238,Tata Indica,2011,-82000,1691107.0,120000,Diesel,Individual,Manual,2
239,Chevrolet Beat,2012,18000,1841107.0,100000,Diesel,Individual,Manual,2
240,Tata Zest,2015,98000,1961107.0,140000,Diesel,Dealer,Manual,1
241,Skoda Fabia,2010,-22000,1781107.0,87000,Diesel,Dealer,Manual,2
242,Maruti 800,2013,-32000,1766107.0,70000,Petrol,Individual,Manual,1
243,Ford Figo,2015,98000,1961107.0,50000,Petrol,Individual,Manual,2
244,Toyota Innova,2014,848000,3086107.0,70000,Diesel,Individual,Manual,1
245,Honda Mobilio,2014,98000,1961107.0,150000,Diesel,Individual,Manual,1
246,Hyundai Grand,2018,263000,2208607.0,25000,Diesel,Individual,Manual,1
247,Chevrolet Beat,2011,-72000,1706107.0,80000,Diesel,Individual,Manual,2
248,Datsun GO,2018,232999,2163605.5,10000,Petrol,Individual,Manual,1
249,Hyundai Grand,2018,298000,2261107.0,32000,Petrol,Individual,Manual,1
250,Maruti Omni,2018,-2000,1811107.0,10000,Petrol,Individual,Manual,1
251,Maruti Baleno,2017,423000,2448607.0,52000,Petrol,Dealer,Manual,1
252,Ford Fiesta,2006,92000,1676107.0,120000,Diesel,Individual,Manual,3
253,Hyundai Elite,2019,598000,2711107.0,11240,Petrol,Individual,Manual,1
254,Hyundai Grand,2017,288000,2246107.0,66000,Diesel,Dealer,Manual,1
255,Maruti Ertiga,2017,678000,2831107.0,64000,Diesel,Dealer,Manual,1
256,Hyundai Santro,2013,88000,1946107.0,49000,Petrol,Individual,Manual,1
257,Tata Sumo,2006,-86001,1685105.5,100000,Diesel,Individual,Manual,2
258,Renault KWID,2018,158000,2051107.0,26500,Petrol,Individual,Manual,1
259,Maruti 800,2002,-137000,1608607.0,100000,Petrol,Individual,Manual,2
260,Maruti Vitara,2017,483000,2588607.0,72000,Diesel,Dealer,Manual,1
261,Honda Jazz,2009,98000,2011107.0,50000,Petrol,Individual,Manual,1
262,Hyundai i20,2017,478000,2581107.0,44000,Diesel,Dealer,Manual,1
263,Maruti Ertiga,2017,798000,3061107.0,60000,Diesel,Individual,Manual,2
264,Tata Sumo,2002,-102000,1711107.0,120000,Diesel,Individual,Manual,1
265,Mahindra Xylo,2010,-42000,1801107.0,130000,Diesel,Individual,Manual,1
266,Maruti Swift,2017,248000,2236107.0,70000,Diesel,Individual,Manual,1
267,Maruti Ertiga,2014,398000,2461107.0,20000,Petrol,Individual,Manual,1
268,Hyundai i20,2009,-22000,1831107.0,60000,Diesel,Individual,Manual,2
269,Maruti Alto,2007,-102000,1711107.0,195000,Petrol,Individual,Manual,1
270,Maruti Alto,2010,-82000,1741107.0,90000,Petrol,Individual,Manual,2
271,Hyundai Getz,2006,72000,1756107.0,80000,Petrol,Individual,Manual,3
272,Maruti Wagon,2011,-42000,1801107.0,155000,Petrol,Individual,Manual,1
273,Mahindra Bolero,2019,658000,2851107.0,35000,Diesel,Individual,Manual,1
274,Hyundai i20,2018,448000,2536107.0,20000,Petrol,Individual,Manual,2
275,Maruti Wagon,2010,-102000,1711107.0,80000,Petrol,Individual,Manual,2
276,Maruti Alto,2017,1880000,1984107.0,20000,Petrol,Individual,Manual,1
277,Hyundai i20,2009,98000,2011107.0,50000,Petrol,Individual,Manual,1
278,Hyundai i20,2010,68000,1966107.0,110000,Petrol,Individual,Manual,2
279,Hyundai Verna,2013,348000,2386107.0,29000,Diesel,Individual,Manual,1
280,Mahindra Xylo,2013,248000,2236107.0,120000,Diesel,Individual,Manual,1
281,Mahindra Bolero,2011,228000,2206107.0,70000,Diesel,Individual,Manual,2
282,Maruti Ertiga,2013,148000,2086107.0,40000,Petrol,Individual,Manual,1
283,Honda Brio,2017,148000,2086107.0,20000,Petrol,Individual,Manual,1
284,Toyota Etios,2013,27999,1906105.5,50000,Petrol,Individual,Manual,2
285,Maruti Alto,2013,-92000,1726107.0,50000,Petrol,Individual,Manual,1
286,Maruti Swift,2012,193000,2153607.0,49000,Petrol,Individual,Manual,2
287,Mahindra Scorpio,2011,448000,2536107.0,70000,Diesel,Individual,Automatic,2
288,Mahindra Bolero,2011,148000,2086107.0,90000,Diesel,Individual,Manual,2
289,Mahindra XUV500,2020,1198000,3661107.0,25000,Diesel,Dealer,Manual,1
290,Tata Tiago,2018,158000,2101107.0,4000,Petrol,Individual,Manual,1
291,Mahindra Marazzo,2018,1098000,3511107.0,10000,Diesel,Individual,Manual,1
292,Renault Duster,2015,598000,2761107.0,15000,Diesel,Individual,Manual,1
293,Hyundai EON,2018,27999,1906105.5,30000,Petrol,Individual,Manual,1
294,Maruti Wagon,2014,113000,2033607.0,41000,Petrol,Dealer,Manual,1
295,Chevrolet Spark,2012,-77000,1748607.0,28000,Petrol,Individual,Manual,1
296,Maruti Baleno,2019,498000,2611107.0,16000,Petrol,Individual,Manual,1
297,Hyundai EON,2015,-42000,1801107.0,70000,Petrol,Individual,Manual,1
298,Ford Figo,2017,328000,2356107.0,10832,Petrol,Dealer,Manual,1
299,Ford Figo,2018,422000,2497107.0,14681,Diesel,Dealer,Manual,1
300,Hyundai i10,2009,48000,1936107.0,50000,Petrol,Individual,Manual,1
301,Mahindra Bolero,2016,383000,2438607.0,51000,Diesel,Dealer,Manual,1
302,Hyundai Verna,2015,298000,2311107.0,25000,Petrol,Individual,Manual,1
303,Chevrolet Sail,2014,148000,2086107.0,30000,Petrol,Individual,Manual,1
304,Honda City,2014,293000,2303607.0,80000,Diesel,Dealer,Manual,1
305,Hyundai Grand,2017,298000,2311107.0,50000,Petrol,Individual,Manual,1
306,Mahindra Bolero,2015,228000,2206107.0,200000,Diesel,Individual,Manual,1
307,Hyundai Grand,2013,143000,2078607.0,44000,Petrol,Dealer,Manual,1
308,Maruti Baleno,2015,298000,2311107.0,10000,Petrol,Individual,Manual,1
309,Tata Tiago,2019,223000,2198607.0,19600,Petrol,Individual,Manual,1
310,Maruti Wagon,2005,-122000,1681107.0,40000,Petrol,Individual,Manual,2
311,Chevrolet Beat,2011,-96000,1720107.0,50000,Diesel,Individual,Manual,1
312,Maruti A-Star,2009,-22000,1831107.0,46730,Petrol,Individual,Manual,1
313,Datsun GO,2015,48000,1936107.0,40000,Petrol,Individual,Manual,2
314,Skoda Yeti,2011,148000,2086107.0,80000,Diesel,Individual,Manual,1
315,Maruti Zen,2002,-142000,1651107.0,80000,Petrol,Individual,Manual,2
316,Hyundai Verna,2018,698000,2911107.0,24000,Diesel,Individual,Manual,1
317,Ford Aspire,2017,498000,2611107.0,21170,Diesel,Dealer,Manual,1
318,BMW 3,2013,1798000,4561107.0,167223,Diesel,Dealer,Automatic,1
319,Maruti Ertiga,2017,798000,3061107.0,40000,Diesel,Individual,Manual,1
320,BMW X1,2011,1173000,3623607.0,60000,Diesel,Individual,Automatic,1
321,Toyota Innova,2016,1598000,4261107.0,141440,Diesel,Dealer,Manual,1
322,Chevrolet Tavera,2007,42000,1801107.0,120000,Diesel,Individual,Manual,3
323,Mitsubishi Outlander,2012,323000,2348607.0,140000,Petrol,Individual,Automatic,1
324,Mahindra XUV500,2012,648000,2836107.0,212814,Diesel,Dealer,Manual,1
325,Maruti Baleno,2019,598000,2761107.0,30000,Diesel,Individual,Manual,1
326,Ford Figo,2017,498000,2611107.0,88635,Diesel,Dealer,Manual,1
327,Maruti Swift,2018,598000,2761107.0,25000,Diesel,Individual,Manual,1
328,Hyundai i20,2017,373000,2423607.0,20000,Petrol,Individual,Manual,2
329,Renault Duster,2012,148000,2086107.0,110000,Diesel,Individual,Manual,2
330,Maruti Swift,2008,48000,1936107.0,120000,Diesel,Individual,Manual,3
331,Ford Endeavour,2011,398000,2461107.0,149674,Diesel,Dealer,Manual,2
332,Mahindra Scorpio,2007,168000,2116107.0,100000,Diesel,Individual,Manual,3
333,Maruti Baleno,2006,122000,1681107.0,120000,Petrol,Individual,Manual,3
334,Tata Indica,2003,-152000,1636107.0,120000,Diesel,Individual,Manual,2
335,Hyundai Verna,2018,698000,2911107.0,25000,Diesel,Individual,Manual,1
336,Maruti Wagon,2014,98000,2011107.0,35000,Petrol,Individual,Manual,2
337,Tata Indica,2002,-77000,1748607.0,40000,Petrol,Individual,Manual,1
338,Maruti Swift,2015,288000,2296107.0,60000,Diesel,Individual,Manual,2
